Compared to the qos2+0, we see that all messages are received, 
in order, with no delays.
batch:msg=[002112:07]-local/dev-7-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002112:08]-local/dev-8-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002112:09]-local/dev-9-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002112:10]-local/dev-10-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002112:11]-local/dev-11-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002112:12]-local/dev-12-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002112:13]-local/dev-13-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002112:14]-local/dev-14-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002112:15]-local/dev-15-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002113:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002114:01]-local/dev-1-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002114:02]-local/dev-2-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002114:03]-local/dev-3-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002114:04]-local/dev-4-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002114:05]-local/dev-5-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002114:06]-local/dev-6-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002114:07]-local/dev-7-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002114:08]-local/dev-8-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002114:09]-local/dev-9-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002114:10]-local/dev-10-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002114:11]-local/dev-11-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002114:12]-local/dev-12-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002114:13]-local/dev-13-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002114:14]-local/dev-14-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002114:15]-local/dev-15-Published: Mon, 03 Dec 2012 16:59:03 +0000
batch:msg=[002115:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:59:03 +0000

