Notes: perfectly expected behaviour.
* messages are in order within the qos band, even if slightly shuffled compared
  to original publish order.  (totally correct behaviour)
* all messages are received!
* cpu usage stays low, and doesn't increase over time on either broker or client


batch:msg=[004937:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004936:02]-local/dev-2-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004936:03]-local/dev-3-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004936:04]-local/dev-4-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004936:05]-local/dev-5-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004936:06]-local/dev-6-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004936:07]-local/dev-7-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004936:08]-local/dev-8-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004936:09]-local/dev-9-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004936:10]-local/dev-10-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004936:11]-local/dev-11-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004936:12]-local/dev-12-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004936:13]-local/dev-13-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004936:14]-local/dev-14-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004936:15]-local/dev-15-Published: Mon, 03 Dec 2012 17:27:37 +0000
batch:msg=[004938:01]-local/dev-1-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004939:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004938:02]-local/dev-2-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004938:03]-local/dev-3-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004938:04]-local/dev-4-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004938:05]-local/dev-5-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004938:06]-local/dev-6-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004938:07]-local/dev-7-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004938:08]-local/dev-8-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004938:09]-local/dev-9-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004938:10]-local/dev-10-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004938:11]-local/dev-11-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004938:12]-local/dev-12-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004938:13]-local/dev-13-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004938:14]-local/dev-14-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004938:15]-local/dev-15-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004940:01]-local/dev-1-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004941:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004940:02]-local/dev-2-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004940:03]-local/dev-3-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004940:04]-local/dev-4-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004940:05]-local/dev-5-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004940:06]-local/dev-6-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004940:07]-local/dev-7-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004940:08]-local/dev-8-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004940:09]-local/dev-9-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004940:10]-local/dev-10-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004940:11]-local/dev-11-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004940:12]-local/dev-12-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004940:13]-local/dev-13-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004940:14]-local/dev-14-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004940:15]-local/dev-15-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004942:01]-local/dev-1-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004943:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004942:02]-local/dev-2-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004942:03]-local/dev-3-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004942:04]-local/dev-4-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004942:05]-local/dev-5-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004942:06]-local/dev-6-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004942:07]-local/dev-7-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004942:08]-local/dev-8-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004942:09]-local/dev-9-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004942:10]-local/dev-10-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004942:11]-local/dev-11-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004942:12]-local/dev-12-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004942:13]-local/dev-13-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004942:14]-local/dev-14-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004942:15]-local/dev-15-Published: Mon, 03 Dec 2012 17:27:38 +0000
batch:msg=[004944:01]-local/dev-1-Published: Mon, 03 Dec 2012 17:27:39 +0000
